tweet_id,favorites,retweets,followers_count
813800681631023104,8969,1944,7413793
813217897535406080,20070,8049,7413793
813202720496779264,9855,1981,7413793
813187593374461952,21304,4816,7413793
813172488309972993,10028,2112,7413793
813157409116065792,8328,2451,7413793
813142292504645637,9043,2604,7413793
813130366689148928,4797,488,7413793
813127251579564032,12746,3452,7413793
813112105746448384,11113,3043,7413793
813096984823349248,11299,3982,7413793
813081950185472002,10610,3055,7413793
813066809284972545,8550,2147,7413793
813051746834595840,22517,8096,7413793
812781120811126785,8150,2109,7413793
812747805718642688,0,7662,7413793
812709060537683968,7122,1576,7413793
812503143955202048,6533,1352,7413793
812466873996607488,8592,2121,7413793
812372279581671427,14733,4043,7413793
811985624773361665,7805,1548,7413793
811744202451197953,8121,1781,7413793
811647686436880384,6007,822,7413793
811627233043480576,13772,3464,7413793
811386762094317568,22479,7065,7413793
810984652412424192,5734,1583,7413793
810896069567610880,9733,1978,7413793
810657578271330305,11786,2920,7413793
810284430598270976,38162,12616,7413793
810254108431155201,15800,3712,7413793
809920764300447744,16656,4315,7413793
809808892968534016,0,5419,7413793
809448704142938112,7451,1622,7413793
809220051211603969,21456,6220,7413793
809084759137812480,14222,3874,7413793
808838249661788160,10866,3362,7413793
808733504066486276,8512,2398,7413793
808501579447930884,12144,2879,7413793
808344865868283904,45753,22965,7413793
808134635716833280,0,6582,7413793
808106460588765185,9378,2427,7413793
808001312164028416,13532,3908,7413793
807621403335917568,15684,4073,7413793
807106840509214720,121275,59957,7413793
807059379405148160,0,8117,7413793
807010152071229440,14024,4228,7413793
806629075125202948,80915,38580,7413793
806620845233815552,0,6108,7413793
806576416489959424,5213,2124,7413793
806542213899489280,11003,2619,7413793
806242860592926720,0,12950,7413793
806219024703037440,6912,1323,7413793
805958939288408065,0,5957,7413793
805932879469572096,8900,2113,7413793
805826884734976000,7099,2025,7413793
805823200554876929,0,8909,7413793
805520635690676224,6178,1823,7413793
805487436403003392,9446,2803,7413793
805207613751304193,8405,1889,7413793
804738756058218496,14803,4268,7413793
804475857670639616,6628,2220,7413793
804413760345620481,0,3562,7414392
804026241225523202,48083,17957,7413793
803773340896923648,10824,3066,7413793
803692223237865472,0,8220,7413793
803638050916102144,11849,4582,7413793
803380650405482500,8346,2057,7413793
803321560782307329,0,5886,7413793
803276597545603072,10797,2738,7413793
802952499103731712,9731,2225,7413793
802624713319034886,0,3246,7413793
802600418706604034,7671,1627,7413793
802572683846291456,9627,2773,7413793
802323869084381190,17517,6472,7413793
802265048156610565,7115,1511,7413793
802239329049477120,9789,2882,7413793
802185808107208704,0,295,7413793
801958328846974976,8322,1889,7414392
801854953262350336,1893,260,7413793
801538201127157760,8834,2279,7413793
801285448605831168,6536,921,7413793
801167903437357056,26420,6582,7413793
801127390143516673,0,4403,7413793
801115127852503040,8719,2316,7413793
800859414831898624,743,107,7413794
800855607700029440,0,1807,7413794
800751577355128832,11316,3076,7413794
800513324630806528,14165,3333,7413794
800459316964663297,10195,2395,7413794
800443802682937345,0,4779,7413794
800388270626521089,12025,3105,7413794
800188575492947969,0,4367,7413794
800141422401830912,16506,2840,7413794
800018252395122689,30614,14602,7413794
799774291445383169,0,5193,7413794
799757965289017345,9065,2399,7413794
799422933579902976,8676,2119,7413794
799308762079035393,0,6137,7413794
799297110730567681,10696,3073,7413794
799063482566066176,8736,2728,7413794
798933969379225600,14206,4965,7413794
798925684722855936,8021,1593,7413794
798705661114773508,0,7324,7413794
798701998996647937,0,8652,7413794
798697898615730177,0,7210,7413794
798694562394996736,0,5496,7413794
798686750113755136,0,2576,7413794
798682547630837760,0,5235,7413794
798673117451325440,0,6147,7413794
798665375516884993,0,4310,7413794
798644042770751489,0,2051,7413794
798628517273620480,0,2175,7413794
798585098161549313,0,6327,7413794
798576900688019456,0,6505,7413795
798340744599797760,0,3729,7413795
798209839306514432,11204,2835,7413795
797971864723324932,12576,3478,7413795
797545162159308800,15644,5381,7413795
797236660651966464,21591,7353,7413795
797165961484890113,248,29,7413795
796904159865868288,0,9861,7413795
796865951799083009,8286,2109,7413795
796759840936919040,12809,3389,7413795
796563435802726400,0,8096,7413795
796484825502875648,8178,1950,7413795
796387464403357696,11885,4613,7413795
796177847564038144,0,15864,7413795
796149749086875649,34925,15864,7413795
796125600683540480,5327,1977,7413795
796116448414461957,9797,2684,7413795
796080075804475393,9121,2571,7413795
796031486298386433,11657,4086,7413795
795464331001561088,53779,26406,7413795
795400264262053889,10901,3174,7413795
795076730285391872,17517,6013,7413795
794983741416415232,0,3736,7413795
794926597468000259,11102,2560,7413795
794355576146903043,0,11403,7413795
